metodo,orden,problema,hebras,tamvector,neqn,salto,tiempo
4,4,5,256,200,400,5,0.592885
4,4,6,256,200,400,5,0.594429
4,4,7,256,200,400,5,0.595333
5,5,1,256,200,200,5,1.224
5,5,2,256,200,200,5,1.21855
5,5,3,256,200,200,5,2.21938
5,5,4,256,200,200,5,2.25678
5,5,5,256,200,400,5,1.32468
5,5,6,256,200,400,5,1.33529
5,5,7,256,200,400,5,1.3502
6,5,1,256,200,200,5,1.15171
6,5,2,256,200,200,5,1.15947
6,5,3,256,200,200,5,2.16342
6,5,4,256,200,200,5,2.21758
6,5,5,256,200,400,5,1.2767
6,5,6,256,200,400,5,1.28553
6,5,7,256,200,400,5,1.28646
1,4,1,256,100,100,6,14.2108
1,4,2,256,100,100,6,17.4419
1,4,3,256,100,100,6,21.4263
1,4,4,256,100,100,6,22.0703
1,4,5,256,100,200,6,18.842
1,4,6,256,100,200,6,16.42
1,4,7,256,100,200,6,16.6784
2,4,1,256,100,100,6,10.7406
2,4,2,256,100,100,6,11.0594
2,4,3,256,100,100,6,18.4826
2,4,4,256,100,100,6,18.9876
2,4,5,256,100,200,6,13.0286
2,4,6,256,100,200,6,13.1574
2,4,7,256,100,200,6,13.5401
3,4,1,256,100,100,6,3.70452
3,4,2,256,100,100,6,3.75213
3,4,3,256,100,100,6,5.57316
3,4,4,256,100,100,6,5.74968
3,4,5,256,100,200,6,4.25118
3,4,6,256,100,200,6,4.27395
3,4,7,256,100,200,6,4.40917
4,4,1,256,100,100,6,5.25052
4,4,2,256,100,100,6,5.30732
4,4,3,256,100,100,6,7.12383
4,4,4,256,100,100,6,7.26845
4,4,5,256,100,200,6,5.79298
4,4,6,256,100,200,6,5.83532
4,4,7,256,100,200,6,5.95409
5,5,1,256,100,100,6,11.0381
5,5,2,256,100,100,6,11.2033
5,5,3,256,100,100,6,16.7386
5,5,4,256,100,100,6,17.1296
5,5,5,256,100,200,6,14.4727
5,5,6,256,100,200,6,14.5407
5,5,7,256,100,200,6,14.5009
6,5,1,256,100,100,6,10.4073
6,5,2,256,100,100,6,10.633
6,5,3,256,100,100,6,16.2643
6,5,4,256,100,100,6,16.6347
6,5,5,256,100,200,6,12.3178
6,5,6,256,100,200,6,12.4136
6,5,7,256,100,200,6,12.7349
1,4,1,256,200,200,6,15.0952
1,4,2,256,200,200,6,18.7991
1,4,3,256,200,200,6,28.7236
1,4,4,256,200,200,6,29.5016
1,4,5,256,200,400,6,19.1643
1,4,6,256,200,400,6,16.8455
1,4,7,256,200,400,6,19.4447
2,4,1,256,200,200,6,12.1255
2,4,2,256,200,200,6,12.1938
2,4,3,256,200,200,6,25.8079
2,4,4,256,200,200,6,26.5373
2,4,5,256,200,400,6,13.7011
2,4,6,256,200,400,6,13.7067
2,4,7,256,200,400,6,13.7905
3,4,1,256,200,200,6,4.30808
3,4,2,256,200,200,6,4.07835
3,4,3,256,200,200,6,7.40488
3,4,4,256,200,200,6,7.55639
3,4,5,256,200,400,6,4.3825
3,4,6,256,200,400,6,4.47631
3,4,7,256,200,400,6,4.42845
4,4,1,256,200,200,6,5.57675
4,4,2,256,200,200,6,5.59954
4,4,3,256,200,200,6,9.00204
4,4,4,256,200,200,6,9.18619
4,4,5,256,200,400,6,6.00205
4,4,6,256,200,400,6,6.02854
4,4,7,256,200,400,6,6.02547
5,5,1,256,200,200,6,14.2824
5,5,2,256,200,200,6,14.3075
5,5,3,256,200,200,6,22.3888
5,5,4,256,200,200,6,22.7269
5,5,5,256,200,400,6,14.5835
5,5,6,256,200,400,6,14.7171
5,5,7,256,200,400,6,14.6775
6,5,1,256,200,200,6,11.7069
6,5,2,256,200,200,6,11.7073
6,5,3,256,200,200,6,21.9186
6,5,4,256,200,200,6,22.4964
6,5,5,256,200,400,6,12.8804
6,5,6,256,200,400,6,12.9756
6,5,7,256,200,400,6,12.9837
