metodo,orden,problema,hebras,tamvector,neqn,salto,tiempo
1,4,3,16,1000,2000,5,7378.04
1,4,4,1,1000,2000000,5,5.4134e+06
2,4,1,1,1000,1000,5,3153.86
2,4,1,4,1000,1000,5,1314.78
2,4,1,16,1000,1000,5,1462.15
2,4,2,1,1000,1000,5,11710.5
2,4,2,4,1000,1000,5,3710.09
2,4,2,16,1000,1000,5,2073.73
2,4,3,1,1000,2000,5,4823.22
2,4,3,4,1000,2000,5,1831.09
2,4,3,16,1000,2000,5,1953.38
3,4,1,1,1000,1000,5,318.436
3,4,1,4,1000,1000,5,1179.39
3,4,1,16,1000,1000,5,2492.64
3,4,2,1,1000,1000,5,2420.63
3,4,2,4,1000,1000,5,2246.18
3,4,2,16,1000,1000,5,3190.06
3,4,3,1,1000,2000,5,784.44
3,4,3,4,1000,2000,5,1635.12
3,4,3,16,1000,2000,5,4104.39
4,4,1,1,1000,1000,5,556.46
4,4,1,4,1000,1000,5,571.499
4,4,1,16,1000,1000,5,1395.02
4,4,2,1,1000,1000,5,2729.89
4,4,2,4,1000,1000,5,1177.48
4,4,2,16,1000,1000,5,1377.68
4,4,3,1,1000,2000,5,1271.22
4,4,3,4,1000,2000,5,797.311
4,4,3,16,1000,2000,5,13922.2
5,5,1,1,1000,1000,5,1048.96
5,5,1,4,1000,1000,5,4369.42
5,5,1,16,1000,1000,5,10522.7
5,5,2,1,1000,1000,5,7408.15
5,5,2,4,1000,1000,5,6915.39
5,5,2,16,1000,1000,5,13340.3
5,5,3,1,1000,2000,5,2468.21
5,5,3,4,1000,2000,5,5312.58
5,5,3,16,1000,2000,5,10716.9
6,5,1,1,1000,1000,5,2485.61
6,5,1,4,1000,1000,5,1398.8
6,5,1,16,1000,1000,5,2568.77
6,5,2,1,1000,1000,5,9274.92
6,5,2,4,1000,1000,5,3325.6
6,5,2,16,1000,1000,5,2228.35
6,5,3,1,1000,2000,5,5217.47
6,5,3,4,1000,2000,5,2146.12
6,5,3,16,1000,2000,5,2149.21
1,4,1,1,100,100,6,2793.78
1,4,1,4,100,100,6,19899.8
1,4,1,16,100,100,6,46271.4
1,4,2,1,100,100,6,12054.3
1,4,2,4,100,100,6,34768.8
1,4,2,16,100,100,6,70235.7
1,4,3,1,100,200,6,5423.54
1,4,3,4,100,200,6,29301.5
1,4,3,16,100,200,6,69828.6
2,4,1,1,100,100,6,3714.92
2,4,1,4,100,100,6,8474.62
2,4,1,16,100,100,6,19144.4
2,4,2,1,100,100,6,12549.1
2,4,2,4,100,100,6,12065
2,4,2,16,100,100,6,16690.2
2,4,3,1,100,200,6,5390.5
2,4,3,4,100,200,6,8277.11
2,4,3,16,100,200,6,19549.8
3,4,1,1,100,100,6,1316.4
3,4,1,4,100,100,6,12467.6
3,4,1,16,100,100,6,30169.9
3,4,2,1,100,100,6,3792.99
3,4,2,4,100,100,6,16224.5
3,4,2,16,100,100,6,39106
3,4,3,1,100,200,6,2084.48
3,4,3,4,100,200,6,12811.7
3,4,3,16,100,200,6,28693.7
4,4,1,1,100,100,6,982.354
4,4,1,4,100,100,6,4839.74
4,4,1,16,100,100,6,18318.8
4,4,2,1,100,100,6,3200.13
4,4,2,4,100,100,6,5356.12
4,4,2,16,100,100,6,13237.4
4,4,3,1,100,200,6,1697.4
4,4,3,4,100,200,6,4880.69
4,4,3,16,100,200,6,28598.5
5,5,1,1,100,100,6,4585.96
5,5,1,4,100,100,6,44691.9
5,5,1,16,100,100,6,104196
5,5,2,1,100,100,6,11905.3
5,5,2,4,100,100,6,54568.4
5,5,2,16,100,100,6,120363
5,5,3,1,100,200,6,6886.74
5,5,3,4,100,200,6,51850.8
5,5,3,16,100,200,6,132386
6,5,1,1,100,100,6,3175.07
6,5,1,4,100,100,6,9589.02
6,5,1,16,100,100,6,34395.9
6,5,2,1,100,100,6,9999.45
6,5,2,4,100,100,6,12342.4
6,5,2,16,100,100,6,20595.9
6,5,3,1,100,200,6,5903.28
6,5,3,4,100,200,6,9741.63
6,5,3,16,100,200,6,30209.9
1,4,1,1,200,200,6,3325.83
1,4,1,4,200,200,6,20451.8
1,4,1,16,200,200,6,48086.8
1,4,2,1,200,200,6,21537.3
1,4,2,4,200,200,6,34849.1
1,4,2,16,200,200,6,71761
1,4,3,1,200,400,6,7317.91
1,4,3,4,200,400,6,32738.6
1,4,3,16,200,400,6,68362.7
2,4,1,1,200,200,6,6734.83
2,4,1,4,200,200,6,8143.45
2,4,1,16,200,200,6,19107.5
2,4,2,1,200,200,6,24017.4
2,4,2,4,200,200,6,14503.6
2,4,2,16,200,200,6,17016.3
2,4,3,1,200,400,6,10149.9
2,4,3,4,200,400,6,9851.74
2,4,3,16,200,400,6,14363.7
3,4,1,1,200,200,6,1517.6
3,4,1,4,200,200,6,11058.7
3,4,1,16,200,200,6,23623
3,4,2,1,200,200,6,6107.4
3,4,2,4,200,200,6,14526.5
3,4,2,16,200,200,6,28824.3
3,4,3,1,200,400,6,2657.77
3,4,3,4,200,400,6,15358.3
3,4,3,16,200,400,6,36251.8
4,4,1,1,200,200,6,1471.97
4,4,1,4,200,200,6,4754.69
4,4,1,16,200,200,6,14529
4,4,2,1,200,200,6,5920.95
4,4,2,4,200,200,6,6041.17
4,4,2,16,200,200,6,13485.7
4,4,3,1,200,400,6,2892.96
4,4,3,4,200,400,6,5357
4,4,3,16,200,400,6,18649.7
5,5,1,1,200,200,6,5228.13
5,5,1,4,200,200,6,43396.3
5,5,1,16,200,200,6,110318
5,5,2,1,200,200,6,19111
5,5,2,4,200,200,6,56433.4
5,5,2,16,200,200,6,131729
5,5,3,1,200,400,6,8886.48
5,5,3,4,200,400,6,45370.5
5,5,3,16,200,400,6,100991
6,5,1,1,200,200,6,5583.11
6,5,1,4,200,200,6,9581.4
6,5,1,16,200,200,6,32391.6
6,5,2,1,200,200,6,19240.4
6,5,2,4,200,200,6,13704.2
6,5,2,16,200,200,6,37689.4
6,5,3,1,200,400,6,11032
6,5,3,4,200,400,6,10642.2
6,5,3,16,200,400,6,15798.3
1,4,1,1,500,500,6,4866.03
1,4,1,4,500,500,6,22989
1,4,1,16,500,500,6,49290.4
1,4,2,1,500,500,6,48026.4
1,4,2,4,500,500,6,44233.4
1,4,2,16,500,500,6,74125.1
1,4,3,1,500,1000,6,13008.1
1,4,3,4,500,1000,6,33331.7
1,4,3,16,500,1000,6,70516.6
2,4,1,1,500,500,6,15806.6
2,4,1,4,500,500,6,9956
2,4,1,16,500,500,6,15739.7
2,4,2,1,500,500,6,58977.4
2,4,2,4,500,500,6,21524.7
2,4,2,16,500,500,6,16917
2,4,3,1,500,1000,6,24385
2,4,3,4,500,1000,6,11467.4
2,4,3,16,500,1000,6,12628.9
3,4,1,1,500,500,6,2003.57
3,4,1,4,500,500,6,14286.1
3,4,1,16,500,500,6,31461.8
3,4,2,1,500,500,6,12799.2
3,4,2,4,500,500,6,19932.6
3,4,2,16,500,500,6,39715.9
3,4,3,1,500,1000,6,4556.36
3,4,3,4,500,1000,6,14248
3,4,3,16,500,1000,6,30349.9
4,4,1,1,500,500,6,2993.72
4,4,1,4,500,500,6,5456
4,4,1,16,500,500,6,19779.4
4,4,2,1,500,500,6,13931.4
4,4,2,4,500,500,6,8538.75
4,4,2,16,500,500,6,25345.4
4,4,3,1,500,1000,6,6611.78
4,4,3,4,500,1000,6,6000.98
4,4,3,16,500,1000,6,11922.4
5,5,1,1,500,500,6,6896.61
5,5,1,4,500,500,6,49793.6
5,5,1,16,500,500,6,93422.9
5,5,2,1,500,500,6,39507.7
5,5,2,4,500,500,6,60886.2
5,5,2,16,500,500,6,117173
5,5,3,1,500,1000,6,14683.1
5,5,3,4,500,1000,6,52614
5,5,3,16,500,1000,6,131588
6,5,1,1,500,500,6,12765.5
6,5,1,4,500,500,6,11714.4
6,5,1,16,500,500,6,25953.5
6,5,2,1,500,500,6,46670.1
6,5,2,4,500,500,6,22591.3
6,5,2,16,500,500,6,21172.6
6,5,3,1,500,1000,6,26445.8
6,5,3,4,500,1000,6,14585.8
6,5,3,16,500,1000,6,18555.1
1,4,1,1,1000,1000,6,7324.21
1,4,1,4,1000,1000,6,22733.5
1,4,1,16,1000,1000,6,50470.4
1,4,2,1,1000,1000,6,91867.7
1,4,2,4,1000,1000,6,56063
1,4,2,16,1000,1000,6,78602.9
1,4,3,1,1000,2000,6,22648.4
1,4,3,4,1000,2000,6,36517.7
1,4,3,16,1000,2000,6,73988.7
2,4,1,1,1000,1000,6,31382.8
2,4,1,4,1000,1000,6,13233.9
2,4,1,16,1000,1000,6,12580.5
2,4,2,1,1000,1000,6,117081
2,4,2,4,1000,1000,6,37030.7
2,4,2,16,1000,1000,6,21405.4
2,4,3,1,1000,2000,6,49715.2
2,4,3,4,1000,2000,6,18073.3
